series_id,n_events,n_regions,start_year,end_year,max_magnitude,mean_eta,event_ids
S087,50,6,1919.0,2024.0,8.15,0.00011602687219363287,"['iscgem912700', 'iscgem912773', 'iscgem912775', 'iscgem912776', 'iscgem912777', 'iscgem912783', 'iscgem912419', 'iscgem912486', 'iscgem912172', 'iscgem908536', 'iscgem904010', 'iscgem902394', 'iscgem900980', 'iscgem900989', 'iscgem899566', 'iscgem887673', 'usp000a2mw', 'usp000a3qq', 'usp000a3sp', 'usp000a45f', 'usp000a6ep', 'usp000arz5', 'usp000axuy', 'usp000bkjf', 'usp000bnbn', 'usp000bsdd', 'usp000bz8p', 'usp000c2k4', 'usp000cdw2', 'usp000dz2j', 'usp000e0h0', 'usp000e5zd', 'usp000fp59', 'usp000gyhq', 'usp000h9ra', 'usp000hfka', 'usp000hhfk', 'usp000hqdx', 'usp000jpjk', 'usb000gen8', 'usb000i8ey', 'us200081v8', 'us10007lkw', 'us10007uph', 'us1000d1kv', 'us1000d937', 'us1000haa3', 'us70003kyy', 'us7000mc2t', 'us7000nrwz']"
S416,42,11,2002.0,2021.0,9.1,0.00011836321488371476,"['usp000bfuz', 'official20041226005853450_30', 'usp000dcbh', 'usp000dd5a', 'usp000ddgf', 'usp000dfhb', 'usp000dfj2', 'usp000dg73', 'usp000dgfv', 'usp000dh0k', 'usp000dhc1', 'usp000djku', 'official20050328160936530_30', 'usp000dmtx', 'usp000dn1w', 'usp000dqs0', 'usp000dr4t', 'usp000dujc', 'usp000dvtc', 'usp000e4gh', 'usp000eh8s', 'usp000fn2b', 'usp000fn34', 'usp000fzau', 'usp000fzv0', 'usp000gapt', 'usp000hat0', 'usp000hbbt', 'usp000hchk', 'usp000hde8', 'usp000hdwb', 'usp000j7nn', 'usp000jdar', 'official20120411083836720_20', 'usp000jhjb', 'usp000jhr6', 'usp000jj41', 'usp000jwt8', 'us10003vry', 'us20005zt1', 'us10007ghm', 'us7000e2zt']"
S190,26,4,1944.0,1987.0,8.3,0.00012057819219639558,"['iscgem899647', 'iscgem899659', 'iscgem899663', 'iscgem898751', 'iscgem898801', 'iscgem898812', 'iscgem898817', 'iscgem898835', 'iscgem898698', 'iscgem17264437', 'iscgem897819', 'iscgem897281', 'iscgem897282', 'iscgem897316', 'iscgem897321', 'iscgem897385', 'iscgem897413', 'iscgem897426', 'iscgem895844', 'iscgem896028', 'iscgem874529', 'iscgem874610', 'iscgem874702', 'iscgem872929', 'usp000363y', 'usp00039kg']"
S148,19,3,1934.0,1985.0,7.8,0.00012203479229709164,"['iscgem905046', 'iscgem905049', 'iscgem905053', 'iscgem905065', 'iscgem905221', 'iscgem903029', 'iscgem900815', 'iscgem899619', 'iscgem899627', 'iscgem899657', 'iscgem889092', 'iscgem872245', 'iscgem841173', 'iscgem839215', 'iscgem839941', 'iscgem778697', 'iscgem776200', 'usp00018a9', 'usp0002ffw']"
S004,59,7,1901.0,2023.0,8.4,0.00012424901384201686,"['cent19010615093400000', 'cent19010809092300000', 'cent19020502113100000', 'iscgem906664', 'iscgem906671', 'iscgem905338', 'official19330302173100_30', 'iscgem905474', 'iscgem905505', 'iscgem905646', 'iscgem905688', 'iscgem904174', 'iscgem904408', 'iscgem904577', 'iscgem904591', 'iscgem903499', 'iscgem903917', 'iscgem903180', 'iscgem902498', 'iscgem902686', 'iscgem902712', 'iscgem902740', 'iscgem902769', 'iscgem902772', 'official19381110201849000_35', 'iscgem902789', 'iscgem902793', 'iscgem902857', 'iscgem901827', 'iscgem902187', 'iscgem901710', 'ushis1378', 'iscgem900206', 'iscgem900553', 'iscgem899802', 'iscgem889485', 'iscgem884132', 'iscgem853920', 'iscgem854009', 'iscgem839857', 'iscgem839881', 'iscgem811093', 'usp0000v0f', 'usp0000v1t', 'usp0001bss', 'usp0002hmv', 'usp000dxe2', 'usp000e462', 'usp000e5c8', 'us7000asvb', 'us6000c9hg', 'us6000dher', 'us7000dl6y', 'us7000dz5t', 'ak0219neiszm', 'ak021d1u1nos', 'us7000gavu', 'us6000h519', 'us7000kg30']"
S247,4,1,1961.0,1994.0,7.8,0.00012456741972779908,"['iscgem17290909', 'iscgem877339', 'iscgem868048', 'usp0006g4b']"
S184,11,2,1943.0,1994.0,8.2,0.00012755425532233144,"['iscgem899875', 'iscgem899331', 'iscgem821946', 'iscgem822412', 'iscgem820211', 'iscgem813290', 'iscgem788955', 'iscgem788974', 'iscgem780829', 'usp0001uvt', 'usp0006h3e']"
S269,40,4,1968.0,2024.0,8.0,0.000127957207840169,"['iscgem817557', 'iscgem817611', 'iscgem817844', 'iscgem818025', 'iscgem813688', 'iscgem812115', 'iscgem812497', 'iscgem811592', 'iscgem805214', 'iscgem805322', 'iscgem805483', 'iscgem799944', 'iscgem798855', 'iscgem798465', 'iscgem798643', 'iscgem796378', 'iscgem796629', 'iscgem773701', 'iscgem765501', 'usp00000z7', 'usp00000zj', 'usp0000myv', 'usp0000pts', 'usp0002drr', 'usp0002vw0', 'usp0002x57', 'usp00032ej', 'usp0003rqq', 'usp0003xjb', 'usp0006vxw', 'usp0006vz4', 'usp0006ww5', 'usp0007jkw', 'usp000a70h', 'usp000jqrz', 'usc000sxh8', 'usb000t20t', 'us60006bjl', 'us6000f48v', 'us7000myfa']"
S212,19,3,1950.0,1998.0,8.1,0.0001281703398284809,"['iscgem895901', 'iscgem896018', 'iscgem17294492', 'iscgem869655', 'iscgem869028', 'iscgem869058', 'iscgem865858', 'iscgem864330', 'iscgem854799', 'iscgem852583', 'usp00008kr', 'usp00008zj', 'usp00009gz', 'usp0002vbr', 'usp00079k5', 'usp00079zv', 'usp0007m42', 'usp0008nfm', 'usp0008xw6']"
S329,14,2,1986.0,1992.0,7.7,0.0001306709116402327,"['usp0002z3j', 'usp0002z8y', 'usp0002zgu', 'usp000311j', 'usp00031hm', 'usp00032bc', 'usp00033f4', 'usp00034k1', 'usp0003bzy', 'usp0003gxk', 'usp0004axa', 'usp0004sq2', 'usp000585d', 'usp00059mp']"
S074,70,5,1916.0,2021.0,8.0,0.00013157604980847983,"['iscgem913746', 'iscgem913219', 'iscgemsup913300', 'iscgem911715', 'iscgem901582', 'iscgem900622', 'iscgem899080', 'iscgem898375', 'iscgem898379', 'iscgem898610', 'iscgem896940', 'iscgem895639', 'iscgem891636', 'iscgem892062', 'iscgem890307', 'iscgem889990', 'iscgem865091', 'iscgem829998', 'iscgem828730', 'iscgem828812', 'iscgem827419', 'iscgem826088', 'iscgem789605', 'iscgem789614', 'iscgem782181', 'iscgem782428', 'iscgemsup782691', 'iscgem781503', 'iscgemsup780585', 'iscgem779023', 'iscgem774887', 'iscgem773172', 'iscgem770672', 'iscgem767547', 'usp000006k', 'usp0000c24', 'usp0000hdc', 'usp0000kcn', 'usp0000px4', 'usp0001tr1', 'usp0001tte', 'usp0001v7c', 'usp0001v7p', 'usp0002gc3', 'usp0002h04', 'usp0002jkc', 'usp0002xzc', 'usp0002yy6', 'usp00034sg', 'usp0005ztm', 'usp0006b9h', 'usp0006bdm', 'usp0007gqq', 'usp0007gvt', 'usp0007rdr', 'usp00091ag', 'usb000g8my', 'usb000kemb', 'usc000pft9', 'usc000phx5', 'usb000q66s', 'usb000q98a', 'usc000rqgz', 'us10001rvu', 'us10001ryu', 'us20002ag9', 'us20002das', 'us10006iy0', 'us10006jbi', 'us7000dffl']"
S293,5,1,1975.0,2006.0,7.8,0.00013250084167436974,"['usp0000e2t', 'usp0000n82', 'usp0000v3r', 'usp000578t', 'usp000etzf']"
S352,5,1,1990.0,2006.0,7.5,0.00013317079177569804,"['usp0004k00', 'usp0004x60', 'usp000558t', 'usp000ej4t', 'usp000evbu']"
S079,36,3,1917.0,2019.0,8.2,0.00013422027648583583,"['iscgem913483', 'iscgem913494', 'iscgem913497', 'iscgem913535', 'iscgem913546', 'iscgem913548', 'iscgem913599', 'iscgem913701', 'iscgem912761', 'iscgem911052', 'iscgem906597', 'iscgem900934', 'iscgem901006', 'iscgem901096', 'iscgem900000', 'iscgem886391', 'iscgem886692', 'iscgem17293490', 'iscgem872354', 'iscgem17294060', 'iscgem858772', 'iscgem822391', 'iscgem822588', 'iscgem819340', 'iscgem817404', 'usp0001fkx', 'usp0001hmm', 'usp000286c', 'usp00028ms', 'usp00043wc', 'usp0005swx', 'usp0006vb3', 'usp0007n46', 'usc000rkg5', 'us2000bibm', 'us6000417i']"
S456,7,2,2013.0,2015.0,8.0,0.00013590245807990308,"['usc000f1s0', 'usc000f3x8', 'usb000g6lc', 'usc000t4cz', 'us10002b03', 'us10002bpw', 'us20002yaw']"
S086,25,4,1918.0,1985.0,7.84,0.00013630690806847615,"['iscgem913329', 'iscgem912704', 'iscgem907054', 'iscgem907065', 'iscgem907131', 'iscgem905976', 'iscgem904858', 'iscgem904697', 'iscgem904700', 'iscgem904711', 'iscgem903639', 'iscgem902922', 'iscgem903250', 'iscgem903261', 'iscgem902858', 'iscgem901797', 'iscgem901807', 'iscgem901916', 'iscgem901919', 'iscgem897750', 'iscgem896037', 'iscgem818136', 'iscgem812898', 'iscgem812954', 'usp0002k69']"
S236,25,3,1957.0,2019.0,7.8,0.0001369437445245776,"['iscgem887702', 'iscgem884485', 'iscgem876003', 'iscgem874781', 'iscgem846422', 'iscgem846454', 'usp0000d2p', 'usp00018r3', 'usp000194t', 'usp0001nvd', 'usp0001r8k', 'usp00080wt', 'usp000814h', 'usp0008rm2', 'usp0008rpa', 'usp0008sd0', 'usp00092cr', 'usp0009xp4', 'usp000b6cd', 'usp000cs2y', 'usp000h2g9', 'usp000h3wn', 'usp000h8pu', 'usp000hd84', 'us2000j468']"
S150,17,4,1935.0,1972.0,7.48,0.0001397361190895955,"['iscgem904497', 'iscgem903796', 'iscgem903800', 'iscgem903844', 'iscgem903375', 'iscgem902854', 'iscgem900100', 'iscgem899290', 'iscgem894821', 'iscgem894832', 'iscgemsup894987', 'iscgem892380', 'iscgem893050', 'iscgem856924', 'iscgem826743', 'iscgem774714', 'iscgem774772']"
S435,11,2,2007.0,2023.0,7.4,0.00014082100631997006,"['usp000f3zy', 'usp000ghyg', 'usp000gq7y', 'us7000dfk3', 'us7000eeq4', 'us7000gg3w', 'us6000h1d2', 'us7000jh99', 'us7000jkbd', 'us6000k6mg', 'us7000jwhe']"
S334,5,1,1987.0,1993.0,7.1,0.00014240288365051414,"['usp00034x3', 'usp00034xs', 'usp00039qx', 'usp00057gu', 'usp0005sm4']"
S292,19,2,1975.0,2003.0,8.0,0.00014282289535012046,"['usp0000d42', 'usp0000d78', 'usp0000ee7', 'usp0000fk9', 'usp0000g59', 'usp0000jq7', 'usp0000pdx', 'usp0000qzg', 'usp0000r34', 'usp0000swb', 'usp00018vj', 'usp0001m22', 'usp0003sav', 'usp0003v79', 'usp0004ypz', 'usp00087s6', 'usp0009bu6', 'usp0009cdx', 'usp000bwkr']"
S436,4,1,2007.0,2010.0,8.1,0.00014437224830982038,"['usp000f83m', 'usp000ff08', 'usp000fjw7', 'usp000h5nd']"
S428,5,1,2006.0,2016.0,7.2,0.00014568704889822266,"['usp000e7f0', 'usp000e9aq', 'usb000ruzk', 'usc000stdc', 'us10006scr']"
S333,6,2,1987.0,1988.0,7.6,0.0001461561348073156,"['usp0003304', 'usp000330w', 'usp00033th', 'usp00037zn', 'usp0003c61', 'usp0003d8y']"
S238,25,3,1958.0,2023.0,8.3,0.0001464589093258037,"['official19581106225809_30', 'iscgem881240', 'iscgem883170', 'iscgem883175', 'iscgem876101', 'iscgem876452', 'iscgem877175', 'iscgem877216', 'iscgem877692', 'iscgem873224', 'iscgem873349', 'iscgem867412', 'iscgem855990', 'iscgem837968', 'usp0000ekj', 'usp0000th2', 'usp0000tjh', 'usp0000tm0', 'usp0000tn6', 'usp0000xsq', 'usp0001n6n', 'usp00022y2', 'usp00023ue', 'usp000afg1', 'us6000m05c']"
S394,6,2,1997.0,2001.0,7.8,0.00014646567968028146,"['usp000890q', 'usp0008f2f', 'usp0008n5q', 'usp000907z', 'usp000967d', 'usp000ahyn']"
